,,,,,,,,,,,,,,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Shooting,Shooting,Shooting,Shooting,Advanced,Advanced
Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,MP,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48
277,2001,NBA,1,13,HOU,Richard Jefferson\jefferi01,21.011,F,us,University of Arizona,2002,2018,1166,29.3,12.8,4.0,2.1,0.7,0.3,.464,.493,.377,.768,83.0,.117
278,2002,NBA,1,13,MIL,Marcus Haislip\haislma01,21.191,F,us,University of Tennessee,2003,2010,89,9.6,3.5,1.5,0.2,0.2,0.4,.437,.444,.350,.659,0.5,.026
279,2003,NBA,1,13,MEM,Marcus Banks\banksma01,21.224,G,us,University of Nevada Las Vegas,2004,2011,348,16.0,5.9,1.5,2.1,0.8,0.2,.432,.462,.327,.768,6.6,.057
280,2005,NBA,1,13,CHA,Sean May\mayse01,21.090,F,us,University of North Carolina,2006,2010,119,15.7,6.9,4.0,1.0,0.4,0.4,.458,.462,.231,.746,2.6,.068
281,2007,NBA,1,13,NOK,Julian Wright\wrighju01,20.044,F,us,University of Kansas,2008,2011,231,13.2,3.9,2.3,0.8,0.6,0.3,.499,.519,.262,.584,3.9,.061
282,2008,NBA,1,13,POR,Brandon Rush\rushbr01,22.360,G-F,us,University of Kansas,2009,2017,481,22.0,6.8,2.9,1.0,0.5,0.5,.426,.447,.402,.706,11.2,.051
283,2009,NBA,1,13,IND,Tyler Hansbrough\hansbty01,23.240,F,us,University of North Carolina,2010,2016,428,16.9,6.7,4.2,0.4,0.5,0.2,.439,.442,.136,.738,20.2,.134
284,2010,NBA,1,13,TOR,Ed Davis\davised01,21.024,F,us,University of North Carolina,2011,2018,499,20.8,6.7,6.4,0.8,0.5,0.9,.559,.559,.000,.573,31.6,.146
285,2011,NBA,1,13,PHO,Markieff Morris\morrima02,21.299,F,us,University of Kansas,2012,2018,459,26.3,11.9,5.6,1.7,0.9,0.6,.447,.475,.333,.774,19.2,.076
286,2012,NBA,1,13,PHO,Kendall Marshall\marshke01,20.319,G,us,University of North Carolina,2013,2016,160,19.3,5.0,1.6,4.9,0.7,0.1,.399,.422,.370,.611,1.0,.015
287,2013,NBA,1,13,DAL,Kelly Olynyk\olynyke01,22.075,C-F,ca,Gonzaga University,2014,2018,295,20.6,9.4,4.7,1.7,0.7,0.5,.479,.533,.372,.744,15.5,.123
288,2014,NBA,1,13,MIN,Zach LaVine\lavinza01,19.113,G,us,University of California Los Angeles,2015,2017,206,28.9,13.7,2.9,3.2,0.8,0.2,.445,.480,.378,.821,4.9,.039
289,2015,NBA,1,13,PHO,Devin Booker\bookede01,18.242,G,us,University of Kentucky,2016,2018,173,31.7,18.6,3.0,3.2,0.8,0.3,.426,.457,.357,.838,5.1,.045
290,2017,NBA,1,13,DEN,Donovan Mitchell\mitchdo01,20.293,G,us,University of Louisville,2018,2018,19,28.1,14.3,3.2,3.1,1.3,0.6,.371,.406,.318,.857,0.1,.011
291,1992,NBA,1,14,IND,Malik Sealy\sealyma01,22.149,G,us,St. John's University,1993,2000,493,23.8,10.1,3.2,1.7,1.1,0.3,.426,.445,.292,.809,17.1,.070
292,1993,NBA,1,14,IND,Scott Haskin\haskisc01,22.290,C-F,us,Oregon State University,1994,1994,27,6.9,2.0,2.0,0.2,0.1,0.6,.467,.467,,.684,0.3,.087
293,1994,NBA,1,14,NJN,Yinka Dare\dareyi01,21.267,C,ng,George Washington University,1995,1998,110,9.1,2.1,2.6,0.0,0.1,0.6,.396,.396,,.570,-0.7,-0.033
294,1995,NBA,1,14,BOS,Eric Williams\willier01,22.351,F,us,Providence College,1996,2007,658,23.9,8.6,3.3,1.4,0.8,0.2,.415,.433,.318,.736,23.2,.071
295,1997,NBA,1,14,LAC,Maurice Taylor\tayloma01,20.243,F,us,University of Michigan,1998,2007,534,25.0,11.0,4.6,1.2,0.5,0.5,.466,.468,.152,.711,9.9,.036
296,1998,NBA,1,14,HOU,Michael Dickerson\dickemi01,23.005,G-F,us,University of Arizona,1999,2003,212,35.3,15.4,2.9,2.6,1.0,0.4,.432,.442,.402,.784,9.6,.061
297,1999,NBA,1,14,MIN,William Avery\averywi01,19.331,G,us,Duke University,2000,2002,142,8.5,2.7,0.7,1.4,0.2,0.0,.330,.376,.255,.714,-0.9,-0.034
298,2000,NBA,1,14,DET,Mateen Cleaves\cleavma01,22.300,G,us,Michigan State University,2001,2006,167,11.2,3.6,1.0,1.9,0.4,0.0,.389,.399,.267,.728,-0.8,-0.021
299,2001,NBA,1,14,GSW,Troy Murphy\murphtr01,21.061,F-C,us,University of Notre Dame,2002,2013,729,27.3,10.8,7.8,1.5,0.7,0.4,.445,.464,.388,.785,50.3,.121
300,2002,NBA,1,14,IND,Fred Jones\jonesfr01,23.113,G-F,us,University of Oregon,2003,2009,430,24.0,7.5,2.2,2.3,0.8,0.3,.411,.445,.353,.809,16.5,.077
301,2003,NBA,1,14,SEA,Luke Ridnour\ridnolu01,22.138,G,us,University of Oregon,2004,2015,830,26.1,9.3,2.3,4.5,1.0,0.2,.431,.458,.349,.862,36.0,.080
302,2004,NBA,1,14,UTA,Kris Humphries\humphkr01,19.143,F-C,us,University of Minnesota,2005,2017,800,17.8,6.7,5.4,0.7,0.4,0.6,.463,.471,.293,.700,30.3,.102
303,2005,NBA,1,14,MIN,Rashad McCants\mccanra01,20.281,G,us,University of North Carolina,2006,2009,249,20.2,10.0,2.0,1.3,0.7,0.2,.431,.467,.368,.741,3.6,.035
304,2006,NBA,1,14,UTA,Ronnie Brewer\brewero02,21.105,G-F,us,University of Arkansas,2007,2014,502,23.0,7.8,2.8,1.6,1.2,0.2,.490,.520,.254,.675,30.4,.127
305,2007,NBA,1,14,LAC,Al Thornton\thornal01,23.209,F,us,Florida State University,2008,2011,296,28.0,11.9,4.2,1.2,0.6,0.5,.452,.467,.293,.747,6.1,.035
306,2008,NBA,1,14,GSW,Anthony Randolph\randoan01,18.351,F,de,Louisiana State University,2009,2014,252,15.2,7.1,4.3,0.7,0.6,0.9,.453,.466,.241,.740,5.8,.072
307,2009,NBA,1,14,PHO,Earl Clark\clarkea01,21.165,F,us,University of Louisville,2010,2015,261,13.9,4.4,3.0,0.5,0.3,0.5,.403,.424,.328,.664,2.9,.038
308,2010,NBA,1,14,HOU,Patrick Patterson\pattepa01,21.107,F,us,University of Kentucky,2011,2018,494,23.6,7.7,4.6,1.2,0.6,0.5,.458,.505,.367,.746,25.4,.104
309,2011,NBA,1,14,HOU,Marcus Morris\morrima03,21.299,F,us,University of Kansas,2012,2018,426,26.2,10.9,4.3,1.5,0.7,0.3,.428,.471,.356,.723,20.0,.086
310,2012,NBA,1,14,MIL,John Henson\hensojo01,21.188,C-F,us,University of North Carolina,2013,2018,331,19.2,7.6,5.2,1.0,0.4,1.5,.535,.537,.000,.564,14.6,.110
311,2013,NBA,1,14,UTA,Shabazz Muhammad\muhamsh01,20.231,F-G,us,University of California Los Angeles,2014,2018,253,18.1,9.4,2.9,0.6,0.3,0.1,.471,.511,.314,.748,7.8,.082
312,2014,NBA,1,14,PHO,T.J. Warren\warretj01,20.299,F,us,North Carolina State University,2015,2018,172,25.1,12.0,4.0,1.0,0.9,0.5,.501,.530,.288,.746,8.7,.097
313,2015,NBA,1,14,OKC,Cameron Payne\payneca01,20.326,G,us,Murray State University,2016,2017,88,13.2,5.0,1.5,1.9,0.6,0.1,.378,.420,.320,.750,1.0,.042
314,2016,NBA,1,14,CHI,Denzel Valentine\valende01,22.225,G,us,Michigan State University,2017,2018,73,19.5,6.3,3.1,1.5,0.6,0.1,.365,.353,.371,.773,1.1,.038
315,2017,NBA,1,14,MIA,Bam Adebayo\adebaba01,19.344,C-F,us,University of Kentucky,2018,2018,10,12.3,3.5,3.6,0.0,0.4,0.4,.500,.500,,.692,0.3,.122
316,1992,NBA,1,15,LAL,Anthony Peeler\peelean01,22.217,G,us,University of Missouri,1993,2005,827,24.7,9.7,2.6,2.4,0.9,0.2,.427,.449,.384,.799,30.7,.072
317,1993,NBA,1,15,ATL,Doug Edwards\edwardo01,22.166,F,us,Florida State University,1994,1996,85,9.9,2.4,1.8,0.7,0.2,0.3,.378,.390,.000,.709,0.2,.013
318,1994,NBA,1,15,IND,Eric Piatkowski\piatker01,23.278,G-F,us,University of Nebraska,1995,2008,789,18.5,7.5,2.2,1.0,0.5,0.1,.434,.464,.399,.839,31.0,.102
319,1995,NBA,1,15,DEN,Brent Barry\barrybr01,23.185,G,us,Oregon State University,1996,2009,912,25.9,9.3,3.0,3.2,1.0,0.3,.460,.525,.405,.823,70.5,.143
320,1996,NBA,1,15,PHO,Steve Nash\nashst01,22.145,G,za,Santa Clara University,1997,2014,1217,31.3,14.3,3.0,8.5,0.7,0.1,.490,.518,.428,.904,129.7,.164
321,1997,NBA,1,15,DAL,Kelvin Cato\catoke01,22.309,C,us,Iowa State University,1998,2007,541,19.6,5.5,5.3,0.5,0.5,1.3,.507,.509,.077,.644,28.6,.129
322,1998,NBA,1,15,ORL,Matt Harpring\harprma01,22.029,F,us,Georgia Institute of Technology,1999,2009,665,26.4,11.5,5.1,1.4,0.7,0.2,.481,.493,.333,.753,41.9,.114
323,2000,NBA,1,15,MIL,Jason Collier\collija02,22.299,C,us,Georgia Institute of Technology,2001,2005,151,14.4,5.6,2.9,0.3,0.2,0.2,.455,.458,.350,.738,1.9,.042
324,2001,NBA,1,15,ORL,Steven Hunter\huntest01,19.244,C,us,DePaul University,2002,2010,400,15.0,4.5,3.2,0.2,0.1,1.1,.560,.560,.000,.485,10.6,.085
325,2003,NBA,1,15,ORL,Reece Gaines\gainere01,22.175,G,us,University of Louisville,2004,2006,71,8.5,1.7,0.7,0.7,0.2,0.0,.324,.336,.269,.606,-0.6,-0.049
326,2005,NBA,1,15,NJN,Antoine Wright\wrighan01,21.148,G-F,us,Texas A&M University,2006,2011,297,19.2,5.4,2.3,1.0,0.5,0.2,.412,.467,.304,.674,3.1,.026
327,2006,NBA,1,15,NOK,Cedric Simmons\simmoce01,20.181,F,us,North Carolina State University,2007,2009,75,9.4,2.2,1.9,0.2,0.1,0.4,.409,.409,,.390,0.1,.005
328,2007,NBA,1,15,DET,Rodney Stuckey\stuckro01,21.073,G,us,Eastern Washington University,2008,2017,651,27.5,12.6,2.9,3.6,0.9,0.1,.423,.442,.300,.824,28.7,.077
329,2008,NBA,1,15,PHO,Robin Lopez\lopezro01,20.091,C,us,Stanford University,2009,2018,644,23.0,8.8,5.5,0.7,0.3,1.3,.526,.527,.154,.761,39.0,.126
330,2009,NBA,1,15,DET,Austin Daye\dayeau01,21.025,F,us,Gonzaga University,2010,2015,293,14.1,5.2,2.6,0.7,0.4,0.4,.402,.433,.351,.778,4.5,.053
331,2010,NBA,1,15,MIL,Larry Sanders\sandela01,21.220,C-F,us,Virginia Commonwealth University,2011,2017,238,19.5,6.4,5.7,0.7,0.6,1.8,.480,.481,.000,.553,10.3,.107
332,2011,NBA,1,15,IND,Kawhi Leonard\leonaka01,19.364,F,us,San Diego State University,2012,2017,398,30.5,16.4,6.2,2.3,1.8,0.7,.495,.537,.388,.847,55.4,.219
333,2012,NBA,1,15,PHI,Maurice Harkless\harklma01,19.053,F-G,us,St. John's University,2013,2018,374,23.4,7.4,3.7,0.9,1.0,0.6,.469,.535,.311,.603,13.4,.073
334,2014,NBA,1,15,ATL,Adreian Payne\paynead01,23.133,F-C,us,Michigan State University,2015,2017,102,13.3,4.0,3.0,0.6,0.4,0.3,.399,.424,.232,.670,-0.7,-0.026
335,2015,NBA,1,15,ATL,Kelly Oubre\oubreke01,19.203,F,us,University of Kansas,2016,2018,160,17.4,5.9,3.1,0.5,0.6,0.2,.422,.497,.322,.734,3.7,.063
336,2017,NBA,1,15,POR,Justin Jackson\jacksju01,22.092,G-F,us,University of North Carolina,2018,2018,16,18.9,6.7,1.7,0.4,0.2,0.1,.413,.475,.333,.600,-0.2,-0.039
337,1992,NBA,1,16,LAC,Randy Woods\woodsra01,21.280,G,us,La Salle University,1993,1996,151,7.2,2.4,0.6,1.7,0.6,0.0,.340,.384,.305,.683,0.6,.026
338,1993,NBA,1,16,NJN,Rex Walters\waltere01,23.116,G,us,University of Kansas,1994,2000,335,13.7,4.6,1.2,1.7,0.4,0.1,.441,.495,.361,.809,6.3,.066
339,1994,NBA,1,16,GSW,Clifford Rozier\roziecl01,21.246,C-F,us,University of Louisville,1995,1998,173,17.2,4.8,5.2,0.6,0.5,0.7,.496,.501,.182,.465,3.9,.063
340,1995,NBA,1,16,ATL,Alan Henderson\hendeal01,22.213,F,us,Indiana University,1996,2007,652,21.1,7.8,5.0,0.6,0.6,0.5,.469,.471,.192,.639,28.0,.097
341,1996,NBA,1,16,CHH,Tony Delk\delkto01,22.155,G,us,University of Kentucky,1997,2006,545,21.5,9.1,2.5,1.9,0.8,0.1,.408,.436,.343,.769,19.5,.080
342,1997,NBA,1,16,CLE,Brevin Knight\knighbr01,21.235,G,us,Stanford University,1998,2009,729,24.9,7.3,2.4,6.1,1.7,0.1,.412,.419,.134,.789,32.6,.086
343,1998,NBA,1,16,HOU,Bryce Drew\drewbr01,23.282,G,us,Valparaiso University,1999,2004,243,16.3,4.4,1.2,2.2,0.5,0.0,.382,.389,.371,.830,2.4,.030
344,1999,NBA,1,16,CHI,Metta World Peace\artesro01,19.234,F,us,St. John's University,2000,2017,991,31.7,13.2,4.5,2.7,1.7,0.5,.414,.447,.339,.715,61.1,.093
345,2001,NBA,1,16,CHH,Kirk Haston\hastoki01,22.115,F,us,Indiana University,2002,2003,27,5.0,1.2,1.0,0.3,0.0,0.2,.232,.260,.000,.500,-0.5,-0.197
346,2003,NBA,1,16,BOS,Troy Bell\belltr01,22.233,G,us,Boston College,2004,2004,6,5.7,1.8,0.7,0.7,0.2,0.0,.222,.286,.000,1.000,-0.2,-0.326
347,2004,NBA,1,16,UTA,Kirk Snyder\snydeki01,21.025,G,us,University of Nevada Reno,2005,2008,211,16.8,6.3,2.3,1.1,0.4,0.3,.438,.475,.327,.699,4.5,.061
348,2005,NBA,1,16,TOR,Joey Graham\grahajo01,23.023,F,us,Oklahoma State University,2006,2011,377,16.2,5.9,2.8,0.5,0.4,0.1,.483,.503,.300,.815,7.8,.061
349,2006,NBA,1,16,CHI,Rodney Carney\carnero01,22.079,F,us,University of Memphis,2007,2011,299,15.4,5.9,2.0,0.4,0.5,0.3,.422,.471,.338,.704,6.2,.064
350,2007,NBA,1,16,WAS,Nick Young\youngni01,22.032,G-F,us,University of Southern California,2008,2018,653,23.3,11.8,2.0,1.0,0.6,0.2,.419,.445,.376,.833,17.4,.055
351,2008,NBA,1,16,PHI,Marreese Speights\speigma01,20.332,C-F,us,University of Florida,2009,2018,667,15.2,7.9,4.2,0.6,0.3,0.5,.464,.476,.359,.799,25.5,.121
352,2009,NBA,1,16,CHI,James Johnson\johnsja01,22.131,F,us,Wake Forest University,2010,2018,490,20.0,7.7,3.5,1.9,0.8,1.0,.478,.526,.301,.695,18.1,.089
353,2010,NBA,1,16,MIN,Luke Babbitt\babbilu01,21.009,F,us,University of Nevada Reno,2011,2018,348,14.2,4.9,2.3,0.6,0.3,0.2,.410,.414,.408,.737,6.7,.065
354,2011,NBA,1,16,PHI,Nikola Vucevic\vucevni01,20.247,C,ch,University of Southern California,2012,2018,417,29.8,14.7,9.8,2.1,0.8,0.9,.502,.507,.344,.722,29.4,.113
355,2012,NBA,1,16,HOU,Royce White\whitero03,21.085,F,us,Iowa State University,2014,2014,3,3.0,0.0,0.0,0.0,0.0,0.0,.000,.000,,,0.0,-0.121
356,2015,NBA,1,16,BOS,Terry Rozier\roziete01,21.105,G,us,University of Louisville,2016,2018,132,15.3,4.9,2.9,1.6,0.6,0.1,.345,.371,.312,.790,2.1,.050
357,2017,NBA,1,16,CHI,Justin Patton\pattoju01,20.013,C,us,Creighton University,,,,,,,,,,,,,,,
358,1992,NBA,1,17,SEA,Doug Christie\chrisdo01,22.052,G-F,us,Pepperdine University,1993,2007,827,31.5,11.2,4.1,3.6,1.9,0.5,.426,.456,.354,.821,55.7,.102
359,1993,NBA,1,17,CHH,Greg Graham\grahagr01,22.222,G,us,Indiana University,1994,1998,207,12.2,4.5,1.1,1.0,0.6,0.1,.407,.438,.290,.775,1.3,.025
360,1994,NBA,1,17,POR,Aaron McKie\mckieaa01,21.275,G,us,Temple University,1995,2007,793,24.2,7.4,3.3,2.7,1.2,0.2,.438,.461,.350,.779,40.0,.100
361,1995,NBA,1,17,CLE,Bob Sura\surabo01,22.100,G,us,Florida State University,1996,2005,657,23.7,8.6,3.4,3.8,1.0,0.2,.414,.450,.325,.689,28.3,.087
362,1997,NBA,1,17,ORL,Johnny Taylor\taylojo01,23.027,F,us,University of Tennessee at Chattanooga,1998,2000,54,16.0,4.7,2.2,0.5,0.6,0.4,.402,.404,.394,.718,0.1,.007
363,1999,NBA,1,17,ATL,Cal Bowdler\bowdlca01,22.096,F,us,Old Dominion University,2000,2002,142,9.7,3.0,1.9,0.2,0.3,0.3,.404,.411,.182,.768,1.8,.061
364,2000,NBA,1,17,SEA,Desmond Mason\masonde01,22.266,F,us,Oklahoma State University,2001,2010,643,30.5,12.1,4.5,1.6,0.7,0.4,.449,.456,.260,.740,23.1,.056
365,2001,NBA,1,17,TOR,Michael Bradley\bradlmi01,22.076,F-C,us,Villanova University,2002,2006,173,11.7,2.8,3.4,0.5,0.1,0.3,.477,.488,.143,.511,2.0,.047
366,2002,NBA,1,17,WAS,Juan Dixon\dixonju01,23.266,G,us,University of Maryland,2003,2009,436,19.5,8.4,1.9,1.8,0.8,0.1,.413,.442,.341,.833,6.1,.034
367,2005,NBA,1,17,IND,Danny Granger\grangda01,22.075,F,us,University of New Mexico,2006,2015,586,31.5,16.8,4.9,1.9,1.0,0.8,.434,.463,.380,.848,48.5,.126
368,2006,NBA,1,17,IND,Shawne Williams\willish03,20.137,F,us,University of Memphis,2007,2015,314,17.1,5.6,3.0,0.7,0.4,0.5,.403,.469,.339,.755,6.7,.060
369,2007,NBA,1,17,NJN,Sean Williams\willise01,20.293,C-F,us,Boston College,2008,2012,137,14.4,4.2,3.4,0.3,0.3,1.2,.511,.512,.000,.624,3.0,.073
370,2008,NBA,1,17,TOR,Roy Hibbert\hibbero01,21.203,C,us,Georgetown University,2009,2017,662,24.8,10.0,6.3,1.3,0.4,1.7,.465,.466,.250,.755,35.9,.105
371,2009,NBA,1,17,PHI,Jrue Holiday\holidjr01,19.018,G,us,University of California Los Angeles,2010,2018,522,32.4,14.3,3.6,6.2,1.4,0.4,.442,.468,.359,.789,27.3,.078
372,2011,NBA,1,17,NYK,Iman Shumpert\shumpim01,21.002,G,us,Georgia Institute of Technology,2012,2018,382,25.5,7.3,3.4,1.9,1.2,0.2,.396,.441,.339,.763,11.6,.057
373,2012,NBA,1,17,DAL,Tyler Zeller\zellety01,22.168,F-C,us,University of North Carolina,2013,2018,349,17.8,7.0,4.4,0.9,0.3,0.6,.502,.503,.111,.763,14.2,.110
374,2014,NBA,1,17,BOS,James Young\youngja01,18.319,G-F,us,University of Kentucky,2015,2017,89,8.4,2.3,1.1,0.3,0.3,0.1,.367,.536,.276,.548,0.7,.047
375,2015,NBA,1,17,MIL,Rashad Vaughn\vaughra01,18.317,G,us,University of Nevada Las Vegas,2016,2018,118,12.8,3.2,1.2,0.6,0.4,0.2,.332,.356,.311,.700,-0.7,-0.022
376,2016,NBA,1,17,MEM,Wade Baldwin\baldwwa01,20.091,G,us,Vanderbilt University,2017,2017,33,12.3,3.2,1.4,1.8,0.5,0.2,.313,.355,.136,.838,-0.3,-0.041
377,2017,NBA,1,17,MIL,D.J. Wilson\wilsodj01,21.129,F,us,University of Michigan,2018,2018,7,3.0,0.6,0.4,0.0,0.0,0.0,.333,.667,.000,,0.0,-0.092
378,1992,NBA,1,18,SAS,Tracy Murray\murratr01,20.340,F,us,University of California Los Angeles,1993,2004,659,18.4,9.0,2.5,0.8,0.5,0.2,.430,.457,.388,.829,24.1,.096
379,1993,NBA,1,18,UTA,Luther Wright\wrighlu01,21.287,C,us,Seton Hall University,1994,1994,15,6.1,1.3,0.7,0.0,0.1,0.1,.348,.364,.000,.750,-0.1,-0.064
380,1994,NBA,1,18,MIL,Eric Mobley\mobleer01,24.154,C,us,University of Pittsburgh,1995,1997,113,13.9,3.9,3.1,0.5,0.2,0.5,.541,.538,.750,.475,1.1,.034
381,1995,NBA,1,18,DET,Theo Ratliff\ratlith01,22.077,C-F,us,University of Wyoming,1996,2011,810,25.3,7.2,5.7,0.6,0.5,2.4,.496,.496,.000,.710,47.9,.112
382,1996,NBA,1,18,NYK,John Wallace\wallajo01,22.143,F,us,Syracuse University,1997,2004,381,16.1,7.6,2.8,0.7,0.4,0.6,.462,.465,.300,.740,6.4,.050
383,1999,NBA,1,18,DEN,James Posey\poseyja01,22.173,F-G,us,Xavier University,2000,2011,864,26.9,8.6,4.7,1.6,1.1,0.3,.410,.467,.349,.820,51.6,.107
384,2000,NBA,1,18,LAC,Quentin Richardson\richaqu01,20.081,G,us,DePaul University,2001,2013,783,26.5,10.3,4.7,1.5,0.8,0.2,.397,.431,.355,.718,32.8,.076
385,2001,NBA,1,18,HOU,Jason Collins\collija04,22.213,C,us,Stanford University,2002,2014,735,20.4,3.6,3.7,0.9,0.5,0.5,.411,.414,.206,.647,20.1,.064
386,2002,NBA,1,18,ORL,Curtis Borchardt\borchcu01,21.291,C,us,Stanford University,2004,2005,83,13.5,3.1,3.3,0.8,0.2,0.6,.421,.423,.000,.742,1.0,.041
387,2003,NBA,1,18,NOH,David West\westda01,22.306,F,us,Xavier University,2004,2018,978,29.0,14.0,6.5,2.2,0.7,0.8,.494,.498,.268,.818,83.3,.141
388,2008,NBA,1,18,WAS,JaVale McGee\mcgeeja01,20.164,C,us,University of Nevada Reno,2009,2018,509,17.4,7.7,4.9,0.3,0.4,1.6,.554,.556,.100,.578,23.8,.129
389,2009,NBA,1,18,MIN,Ty Lawson\lawsoty01,21.240,G,us,University of North Carolina,2010,2017,551,29.2,12.7,2.7,6.0,1.2,0.1,.460,.493,.359,.770,42.1,.126
390,2010,NBA,1,18,OKC,Eric Bledsoe\bledser01,20.202,G,us,University of Kentucky,2011,2018,428,27.1,13.2,3.8,4.6,1.4,0.5,.442,.480,.330,.796,23.1,.096
391,2011,NBA,1,18,WAS,Chris Singleton\singlch01,21.219,F,us,Florida State University,2012,2014,148,17.6,4.1,3.2,0.6,0.8,0.4,.376,.400,.319,.633,2.3,.042
392,2012,NBA,1,18,HOU,Terrence Jones\joneste01,20.176,F,us,University of Kentucky,2013,2017,232,24.0,10.5,5.7,1.0,0.6,1.2,.501,.539,.299,.622,14.8,.128
393,2013,NBA,1,18,ATL,Shane Larkin\larkish01,20.273,G,us,University of Miami,2014,2018,218,19.6,5.6,1.9,3.0,1.0,0.1,.422,.455,.323,.770,3.2,.035
394,2014,NBA,1,18,PHO,Tyler Ennis\ennisty01,19.311,G,ca,Syracuse University,2015,2018,142,12.0,4.0,1.1,1.8,0.5,0.1,.418,.450,.333,.786,0.5,.015
395,2015,NBA,1,18,HOU,Sam Dekker\dekkesa01,21.055,F,us,University of Wisconsin,2016,2018,94,16.5,5.8,3.3,0.9,0.5,0.2,.469,.595,.307,.557,3.2,.099
396,2016,NBA,1,18,DET,Henry Ellenson\ellenhe01,19.166,F,us,Marquette University,2017,2018,25,8.8,3.8,2.3,0.4,0.2,0.0,.370,.426,.321,.556,-0.2,-0.038
397,2017,NBA,1,18,IND,T.J. Leaf\leaftj01,20.058,F,il,University of California Los Angeles,2018,2018,16,11.9,4.6,1.8,0.3,0.2,0.1,.508,.513,.500,.429,0.3,.080
398,1992,NBA,1,19,DET,Don MacLean\macledo01,22.165,F,us,University of California Los Angeles,1993,2001,319,20.9,10.9,3.8,1.3,0.4,0.2,.455,.467,.284,.765,9.4,.067
399,1993,NBA,1,19,BOS,Acie Earl\earlac01,23.013,F-C,us,University of Iowa,1994,1997,193,13.0,5.1,2.7,0.3,0.3,0.7,.403,.407,.000,.667,0.3,.005
400,1994,NBA,1,19,DAL,Tony Dumas\dumasto01,21.313,G,us,University of Missouri-Kansas City,1995,1998,156,14.2,7.3,1.3,1.2,0.4,0.1,.404,.438,.327,.608,1.3,.027
401,1995,NBA,1,19,DET,Randolph Childress\childra01,22.285,G,us,Wake Forest University,1996,1997,51,7.9,2.4,0.5,1.0,0.3,0.0,.328,.396,.273,.800,-0.2,-0.026
402,1996,NBA,1,19,NYK,Walter McCarty\mccarwa01,22.151,F,us,University of Kentucky,1997,2006,593,17.5,5.2,2.6,1.1,0.6,0.3,.392,.433,.346,.698,13.7,.064
403,1997,NBA,1,19,DET,Scot Pollard\pollasc01,22.139,C,us,University of Kansas,1998,2008,506,16.5,4.4,4.6,0.4,0.6,0.7,.494,.494,.000,.709,26.6,.153
404,1998,NBA,1,19,MIL,Pat Garrity\garripa01,21.310,F,us,University of Notre Dame,1999,2008,552,20.0,7.3,2.6,0.8,0.4,0.2,.417,.434,.398,.806,18.7,.081
405,1999,NBA,1,19,UTA,Quincy Lewis\lewisqu01,22.009,F,us,University of Minnesota,2000,2004,159,11.7,3.6,1.3,0.6,0.4,0.2,.397,.412,.333,.710,0.8,.020
406,2000,NBA,1,19,CHH,Jamaal Magloire\magloja01,22.044,C,ca,University of Kentucky,2001,2012,680,21.5,7.2,6.5,0.6,0.3,0.9,.480,.481,.000,.639,27.7,.091
407,2001,NBA,1,19,POR,Zach Randolph\randoza01,19.351,F,us,Michigan State University,2002,2018,1073,31.2,16.7,9.2,1.8,0.8,0.3,.471,.480,.261,.763,79.9,.115
408,2002,NBA,1,19,UTA,Ryan Humphrey\humphry01,22.343,F,us,University of Notre Dame,2003,2005,85,9.1,2.3,2.2,0.2,0.2,0.2,.344,.348,.000,.539,-0.4,-0.027
409,2005,NBA,1,19,MEM,Hakim Warrick\warriha01,22.361,F,us,Syracuse University,2006,2013,526,20.2,9.4,4.0,0.8,0.4,0.3,.490,.499,.191,.726,20.4,.092
410,2006,NBA,1,19,SAC,Quincy Douby\doubyqu01,22.048,G,us,Rutgers University,2007,2009,143,10.7,4.1,1.1,0.7,0.3,0.1,.389,.436,.312,.884,0.0,.000
411,2007,NBA,1,19,LAL,Javaris Crittenton\crittja01,19.184,G,us,Georgia Institute of Technology,2008,2009,113,16.4,5.3,2.4,1.8,0.5,0.1,.442,.466,.231,.638,0.1,.002
412,2008,NBA,1,19,CLE,J.J. Hickson\hicksjj01,19.300,F-C,us,North Carolina State University,2009,2016,534,22.3,9.5,6.8,0.8,0.5,0.6,.505,.508,.000,.617,21.9,.088
413,2009,NBA,1,19,ATL,Jeff Teague\teaguje01,21.020,G,us,Wake Forest University,2010,2018,618,27.2,12.6,2.4,5.6,1.2,0.3,.446,.474,.357,.843,42.1,.121
414,2010,NBA,1,19,BOS,Avery Bradley\bradlav01,19.215,G,us,University of Texas at Austin,2011,2018,430,28.3,12.3,3.1,1.7,1.1,0.2,.443,.475,.370,.774,15.1,.060
415,2011,NBA,1,19,CHA,Tobias Harris\harrito02,18.347,F,us,University of Tennessee,2012,2018,401,29.0,14.0,5.6,1.6,0.7,0.5,.468,.510,.344,.811,27.5,.114
416,2012,NBA,1,19,ORL,Andrew Nicholson\nichoan01,22.208,F,ca,St. Bonaventure University,2013,2017,285,14.3,6.0,3.0,0.4,0.3,0.3,.467,.498,.321,.773,3.8,.045
417,2014,NBA,1,19,CHI,Gary Harris\harriga01,19.290,G,us,Michigan State University,2015,2018,204,26.7,10.8,2.5,1.9,1.2,0.2,.466,.533,.370,.786,9.3,.082
