,,,,,,,,,,,,,,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Shooting,Shooting,Shooting,Shooting,Advanced,Advanced
Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,MP,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48
80,2005,NBA,1,4,NOH,Chris Paul\paulch01,20.058,G,us,Wake Forest University,2006,2018,841,35.5,18.7,4.4,9.9,2.3,0.1,.473,.504,.371,.866,155.9,.251
81,2006,NBA,1,4,POR,Tyrus Thomas\thomaty01,19.320,F,us,Louisiana State University,2007,2015,402,19.7,7.7,4.8,0.9,0.8,1.3,.438,.440,.235,.732,13.0,.078
82,2007,NBA,1,4,MEM,Mike Conley\conlemi01,19.265,G,us,Ohio State University,2008,2018,718,32.5,14.3,2.9,5.7,1.5,0.2,.441,.468,.377,.814,63.5,.130
83,2008,NBA,1,4,SEA,Russell Westbrook\westbru01,19.231,G,us,University of California Los Angeles,2009,2018,688,34.1,22.7,6.3,8.0,1.7,0.3,.432,.460,.314,.820,82.2,.168
84,2009,NBA,1,4,SAC,Tyreke Evans\evansty01,19.284,G-F,us,University of Memphis,2010,2018,493,32.1,16.2,4.8,5.0,1.3,0.4,.446,.474,.305,.756,25.7,.078
85,2010,NBA,1,4,MIN,Wesley Johnson\johnswe01,22.354,F-G,us,Syracuse University,2011,2018,516,23.1,7.5,3.3,1.1,0.8,0.7,.408,.464,.339,.741,10.0,.040
86,2011,NBA,1,4,CLE,Tristan Thompson\thomptr01,20.107,F-C,ca,University of Texas at Austin,2012,2018,474,28.6,9.3,8.6,0.8,0.5,0.8,.515,.517,.000,.610,35.2,.125
87,2012,NBA,1,4,CLE,Dion Waiters\waitedi01,20.206,G,us,Syracuse University,2013,2018,354,28.7,13.4,2.7,2.8,1.0,0.3,.412,.441,.343,.701,7.3,.034
88,2013,NBA,1,4,CHA,Cody Zeller\zelleco01,20.270,C-F,us,Indiana University,2014,2018,295,22.8,8.0,5.6,1.3,0.7,0.8,.499,.502,.214,.730,19.2,.137
89,2014,NBA,1,4,ORL,Aaron Gordon\gordoaa01,18.288,F,us,University of Arizona,2015,2018,225,25.0,10.5,5.5,1.6,0.7,0.6,.467,.529,.317,.709,12.5,.107
